Numero,Nome della Carta,Pianeta/Associazione,Significato Dettagliato,Parole Chiave,,,,,,,,,,,,,,,,,,,,
,Carta Blu,Nessuno,La protezione suprema. Rappresenta la dissoluzione delle ombre e il ritorno alla calma. Agisce come uno scudo energetico.,"Pace, Protezione, Equilibrio, Serenità",,,,,,,,,,,,,,,,,,,,
1,La Destinée,Fondamentale,Un segnale di partenza. Rappresenta un  carrefour  (bivio) dove è necessario scegliere. Spinge all'evoluzione fuori dall'immobilismo.,"Decisione, Iniziativa, Scelta, Destino",,,,,,,,,,,,,,,,,,,,
2,Étoile de l'Homme,Consultante Maschile,"Rappresenta l' archetipo del guerriero moderno : forza, conquista e azione. Indica il consultante o una figura maschile influente.","Coraggio, Affermazione, Energia Attiva, Protezione",,,,,,,,,,,,,,,,,,,,
3,Étoile de la Femme,Consultante Femminile,"Rappresenta l'energia ricettiva, la dolcezza e l'intuizione. Invita alla riflessione profonda e all'ascolto del cuore.","Intuizione, Sensibilità, Benevolenza, Guida",,,,,,,,,,,,,,,,,,,,
4,Natività,Sole,Allineamento perfetto degli astri. Rappresenta una piccola graina che germoglia in terra fertile. Assenza totale di ostacoli.,"Nuovo ciclo, Gravidanza, Progetti, Sicurezza",,,,,,,,,,,,,,,,,,,,
5,Réussite,Sole,"La vittoria dopo uno sforzo costante, come il traguardo di un  maratona . Il successo è meritato e non casuale.","Trionfo, Merito, Compimento, Vittoria",,,,,,,,,,,,,,,,,,,,
6,Élévation,Sole,"Progresso costante. Simboleggiata da una piramide e una  scala coricata : gli strumenti ci sono, ma vanno raddrizzati e attivati dal consultante.","Metodo, Evoluzione, Ambizione, Sforzo",,,,,,,,,,,,,,,,,,,,
7,Honneurs,Sole,"Potere legittimo. Simbolizzata dalla Corona, il Sacerdote e la  Mano della Giustizia . Riconoscimento sociale basato sull'onestà.","Etica, Distinzione, Rispetto, Giustizia",,,,,,,,,,,,,,,,,,,,
8,Pensée-Amitié,Sole,Legami inalienabili. Rappresenta persone fidate che offrono una mano tesa. Invito alla socialità e a nuove connessioni.,"Lealtà, Sincerità, Sostegno, Fiducia",,,,,,,,,,,,,,,,,,,,
9,Campagne-Santé,Sole,Simbolo di pace e ritorno alle radici. Necessità tecnica di ricaricare le batterie e allontanarsi dal frastuono.,"Riposo, Natura, Convalescenza, Risorse",,,,,,,,,,,,,,,,,,,,
10,Présents,Sole,Un dono inaspettato che cade dal cielo. Rappresenta un miglioramento materiale o un riconoscimento tangibile della generosità.,"Abbondanza, Ricompensa, Fortuità, Dono",,,,,,,,,,,,,,,,,,,,
11,Trahison,Luna,Avvertimento su inganni esterni o pericoloso  autosabotaggio interno . Spirale di pensieri negativi che offusca il giudizio.,"Invidia, Vigilanza, Gelosia, Dubbio",,,,,,,,,,,,,,,,,,,,
12,Départ,Luna,Distacco netto. Le montagne rappresentano il passato da lasciare; gli uccelli l'enclosure verso l'ignoto. Emancipazione necessaria.,"Viaggio, Indipendenza, Libertà, Cambiamento",,,,,,,,,,,,,,,,,,,,
13,Inconstance,Luna,"Instabilità come in una tempesta. Parole ""al vento"" o promesse poco solide. Necessità di centratura per non perdersi.","Indecisione, Versatilità, Incertezza, Confusione",,,,,,,,,,,,,,,,,,,,
14,Découverte,Luna,Il telescopio invita a guardare oltre. La stella nel mirino simboleggia la guida verso verità nascoste o nuovi saperi.,"Curiosità, Ricerca, Indagine, Sapere",,,,,,,,,,,,,,,,,,,,
15,L'Eau,Luna,"Connessione profonda con la  Mediumità  e la preveggenza. Nonostante le onde emotive, la nave resta stabile se si segue l'intuizione.","Femminilità, Introspezione, Voyance, Emozioni",,,,,,,,,,,,,,,,,,,,
16,Les Pénates,Luna,"La torre solida rappresenta il rifugio, le  tradizioni  e le radici familiari. Legata strettamente ai beni immobili.","Casa, Sicurezza, Tradizione, Stabilità",,,,,,,,,,,,,,,,,,,,
17,Maladie,Luna,L'uccello di preda che ghermisce la vittima indica oppressione e stanchezza. Richiede resilienza e ascolto dei propri limiti.,"Blocco, Stress, Ansia, Indebolimento",,,,,,,,,,,,,,,,,,,,
18,Changement,Mercurio,"Movimento naturale e favorevole, come riorganizzare una stanza per renderla più armoniosa. Evoluzione non brutale.","Adattamento, Flessibilità, Rinnovamento, Scelta",,,,,,,,,,,,,,,,,,,,
19,Argent,Mercurio,Prosperità materiale simboleggiata dalla Cornucopia. Afflusso di risorse da gestire con responsabilità.,"Abbondanza, Bonus, Sicurezza, Ricchezza",,,,,,,,,,,,,,,,,,,,
20,Intelligence,Mercurio,Il libro e le candele indicano lucidità mentale e studio. Uso della strategia per risolvere complessità.,"Apprendimento, Chiarezza, Analisi, Sapere",,,,,,,,,,,,,,,,,,,,
21,Vol-Perte,Mercurio,Pericolo di manipolazione o sottrazione (materiale o emotiva) da parte di terzi. Richiede estrema vigilanza.,"Furto, Inganno, Vulnerabilità, Manipolazione",,,,,,,,,,,,,,,,,,,,
22,Entreprise,Mercurio,La figura dell'architetto: strutturare i progetti con piani solidi. Applicabile a costruzioni reali o simboliche.,"Lavoro, Organizzazione, Metodo, Progetto",,,,,,,,,,,,,,,,,,,,
23,Trafic,Mercurio,Sotto l'influenza di Hermes: dinamismo commerciale e negoziazioni. Ruolo di mediatore in scambi vantaggiosi.,"Commercio, Dialogo, Contratto, Espansione",,,,,,,,,,,,,,,,,,,,
24,Nouvelle,Mercurio,Nota Tecnica:  La carta più rapida. L'esito (positivo/negativo) dipende dalle carte circostanti. Arrivo improvviso di segnali.,"Messaggio, Velocità, Sorpresa, Segnale",,,,,,,,,,,,,,,,,,,,
25,Plaisirs,Venere,"L'arpa diffonde vibrazioni di armonia. Godimento dell'estetica, delle arti e del benessere sensoriale.","Arte, Bellezza, Gioia, Estetica",,,,,,,,Venere,"L'arpa diffonde vibrazioni di armonia. Godimento dell'estetica, delle arti e del benessere sensoriale.","Arte, Bellezza, Gioia, Estetica",25,Plaisirs,Venere,"L'arpa diffonde vibrazioni di armonia. Godimento dell'estetica, delle arti e del benessere sensoriale.","Arte, Bellezza, Gioia, Estetica",25,Plaisirs,Venere,"L'arpa diffonde vibrazioni di armonia. Godimento dell'estetica, delle arti e del benessere sensoriale.","Arte, Bellezza, Gioia, Estetica"
